# file...... output/gpr_SWT_Pout.csv
# date...... Fri Jul  9 16:35:40 2021
# user...... cosim
# host...... (null)
# group..... class=switch
# property.. power_out_real
# limit..... 10000000
# interval.. 1
# timestamp,switch_2_3,switch_4_5
2021-01-01 00:00:01.710000038 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.720000029 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.730000019 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.740000010 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.750000000 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.759999990 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.769999981 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.779999971 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.789999962 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.799999952 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.809999943 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.819999933 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.829999924 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.839999914 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.849999905 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.859999895 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.869999886 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.880000114 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.890000105 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.900000095 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.910000086 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.920000076 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.930000067 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.940000057 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.950000048 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.960000038 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.970000029 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.980000019 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:01.990000010 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.009999990 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.019999981 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.029999971 EST,+2.70043e+06,+1.5e+06
